Available,Duration,Total_Fare,no_of_days_to_flight,Airways_Air India,Airways_AirAsia,Airways_Go Air,Airways_IndiGo,Airways_Jet Airways,Airways_Spicejet,Airways_Vistara,Dept_Time_BSR,Dept_Time_MDSS,Dept_Time_SRMD,Dept_Time_SSMN,Arr_Time_BSR,Arr_Time_MDSS,Arr_Time_SRMD,Arr_Time_SSMN,Hopping_False,Hopping_True
1,130,4490,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
6,680,9028,20,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
6,800,6477,38,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
2,260,6182,35,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
7,1430,5926,43,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
7,1505,8545,31,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
9,890,8302,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4,120,15654,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
9,130,3967,19,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
5,885,5821,43,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
11,130,3496,43,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
20,135,3927,27,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
2,130,4490,26,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
3,325,25849,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,135,4490,16,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
2,135,3050,35,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
7,325,9774,26,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
6,340,11853,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
7,1590,10330,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,325,15045,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
42,195,4899,41,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8,135,3050,41,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
7,1590,6540,46,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
2,120,3852,20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
2,690,11123,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
9,130,5349,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
7,130,4235,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
3,755,5647,47,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2,130,7066,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
5,905,7012,29,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,1655,11034,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
9,660,5152,47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
7,220,34134,52,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
9,535,4545,45,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
4,535,6330,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7,895,4540,28,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
12,130,3347,39,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
4,265,13186,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
7,120,4655,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
16,160,3496,55,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
4,145,3050,52,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
9,130,3286,48,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
2,130,4490,13,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
7,475,8304,29,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
9,975,8766,23,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2,130,4490,21,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
